timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,temperature,cadence,fractional_cadence
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,,,,,,,,,,,
2024-02-12 08:15:02-08:00,45.38878376595676,11.875895485281944,0.0,12.600000000000023,,5.7456000000000005,,106,,55,0.5
2024-02-12 08:15:03-08:00,45.388788878917694,11.87591920606792,0.00134,12.799999999999955,,4.8708,,107,,56,0.5
2024-02-12 08:15:04-08:00,45.38878435268998,11.875960445031524,0.00477,12.799999999999955,,4.8708,,108,,59,0.5
2024-02-12 08:15:05-08:00,45.38878384977579,11.875998666509986,0.0071200000000000005,12.799999999999955,,6.9516,,108,,78,0.0
2024-02-12 08:15:06-08:00,45.3887833468616,11.87605063430965,0.01141,12.799999999999955,,7.0884,,108,,80,0.5
2024-02-12 08:15:07-08:00,45.388777730986476,11.876096986234188,0.015179999999999999,12.799999999999955,,9.8748,,113,,81,0.0
2024-02-12 08:15:08-08:00,45.388775719329715,11.876141410320997,0.01886,12.799999999999955,,12.2256,,115,,82,0.0
2024-02-12 08:15:09-08:00,45.38878024555743,11.87617477029562,0.02168,12.799999999999955,,12.2256,,119,,82,0.5
2024-02-12 08:15:10-08:00,45.38878133520484,11.876215171068907,0.02468,13.0,,11.8908,,121,,83,0.0
2024-02-12 08:15:11-08:00,45.38878133520484,11.876249788329005,0.02755,13.0,,11.8584,,122,,83,0.0
2024-02-12 08:15:12-08:00,45.38878242485225,11.876287506893277,0.03339,13.0,,11.5884,,123,,82,0.5
2024-02-12 08:15:13-08:00,45.388787034898996,11.876362524926662,0.03339,13.0,,11.4192,,124,,82,0.5
2024-02-12 08:15:14-08:00,45.3887886274606,11.876409715041518,0.03625,13.0,,11.4552,,126,,82,0.5
2024-02-12 08:15:15-08:00,45.388787956908345,11.876444667577744,0.04022,13.0,,11.4552,,126,,82,0.5
2024-02-12 08:15:16-08:00,45.38878326304257,11.876482386142015,0.04269,13.0,,11.620800000000001,,128,,82,0.5
2024-02-12 08:15:17-08:00,45.38877613842487,11.87651147134602,0.046079999999999996,13.200000000000045,,11.6892,,128,,82,0.0
2024-02-12 08:15:18-08:00,45.38877043873072,11.876542987301946,0.04839,13.200000000000045,,11.620800000000001,,130,,82,0.0
2024-02-12 08:15:19-08:00,45.388766918331385,11.876580119132996,0.05081,13.200000000000045,,11.520000000000001,,131,,82,0.0
2024-02-12 08:15:20-08:00,45.388760631904006,11.876623034477234,0.053829999999999996,13.200000000000045,,11.3868,,130,,82,0.0
2024-02-12 08:15:21-08:00,45.38875250145793,11.876662764698267,0.05717,13.200000000000045,,11.3868,,129,,82,0.0
2024-02-12 08:15:22-08:00,45.38874462246895,11.876706937327981,0.06035,13.399999999999977,,11.3868,,129,,82,0.0
2024-02-12 08:15:23-08:00,45.388726266101,11.87676602974534,0.06866,13.399999999999977,,11.3544,,130,,81,0.5
2024-02-12 08:15:24-08:00,45.388714615255594,11.87681288458407,0.06866,13.399999999999977,,11.3184,,130,,82,0.0
2024-02-12 08:15:25-08:00,45.3887090831995,11.87683635391295,0.07284,13.399999999999977,,11.3184,,131,,82,0.0
2024-02-12 08:15:26-08:00,45.38870011456311,11.876871138811111,0.07489,13.399999999999977,,11.3184,,131,,82,0.0
2024-02-12 08:15:27-08:00,45.38868787698448,11.87691061757505,0.07772,13.399999999999977,,11.116800000000001,,131,,81,0.5
2024-02-12 08:15:28-08:00,45.388677986338735,11.876940205693245,0.08147,13.399999999999977,,11.052,,132,,82,0.0
2024-02-12 08:15:29-08:00,45.388667257502675,11.876983288675547,0.08397,13.399999999999977,,11.052,,132,,82,0.0
2024-02-12 08:15:30-08:00,45.388658959418535,11.877012457698584,0.08769,13.399999999999977,,11.052,,133,,82,0.5
2024-02-12 08:15:31-08:00,45.38864563219249,11.877058474346995,0.09393000000000001,13.399999999999977,,11.052,,134,,82,0.5
2024-02-12 08:15:32-08:00,45.38863389752805,11.877093510702252,0.09393000000000001,13.600000000000023,,11.0844,,134,,82,0.5
2024-02-12 08:15:33-08:00,45.38862559944391,11.877126954495907,0.09716,13.600000000000023,,11.2536,,135,,82,0.5
2024-02-12 08:15:34-08:00,45.388618391007185,11.877169534564018,0.09992,13.600000000000023,,11.286,,135,,82,0.5
2024-02-12 08:15:35-08:00,45.38861093111336,11.87720825895667,0.10323,13.600000000000023,,11.3184,,136,,82,0.5
2024-02-12 08:15:36-08:00,45.3886036388576,11.87724287621677,0.10678,13.399999999999977,,11.3868,,137,,82,0.5
2024-02-12 08:15:37-08:00,45.38859651423991,11.877278918400407,0.10948000000000001,13.600000000000023,,11.3868,,137,,82,0.5
2024-02-12 08:15:38-08:00,45.38860011845827,11.877314960584044,0.11255,13.600000000000023,,11.3868,,137,,82,0.5
2024-02-12 08:15:39-08:00,45.38859601132572,11.87735435552895,0.1152,13.600000000000023,,11.3868,,138,,82,0.5
2024-02-12 08:15:40-08:00,45.388590479269624,11.877392660826445,0.11824,13.399999999999977,,11.2536,,138,,82,0.5
