timestamp,position_lat,position_long,distance,enhanced_altitude,altitude,enhanced_speed,speed,heart_rate,temperature,cadence,fractional_cadence
2024-02-21 10:02:19-08:00,,,,,,,,,,,
2024-02-21 10:02:19-08:00,,,,,,,,,,,
2024-02-21 10:02:19-08:00,,,,,,,,,,,
2024-02-21 10:02:19-08:00,,,,,,,,,,,
2024-02-21 10:02:19-08:00,,,,,,,,,,,
2024-02-21 10:02:19-08:00,,,,,,,,,,,
2024-02-21 10:02:19-08:00,,,,,,,,,,,
2024-02-21 10:02:19-08:00,45.39477380923927,11.909174574539065,0.0,8.0,,0.0,,79,,0,0.0
2024-02-21 10:02:20-08:00,45.39476349949837,11.909237941727042,0.00254,8.0,,0.0,,79,,0,0.0
2024-02-21 10:02:21-08:00,45.39479836821556,11.909251771867275,0.0061200000000000004,8.0,,0.0,,79,,0,0.0
2024-02-21 10:02:22-08:00,45.39480574429035,11.909292256459594,0.009890000000000001,8.0,,0.0,,80,,80,0.0
2024-02-21 10:02:23-08:00,45.39478403516114,11.90936392173171,0.009890000000000001,8.0,,0.0,,80,,82,0.0
2024-02-21 10:02:24-08:00,45.39476911537349,11.909387307241559,0.01613,8.0,,0.0,,80,,82,0.0
2024-02-21 10:02:25-08:00,45.39476743899286,11.909424774348736,0.01847,7.800000000000011,,0.0,,81,,82,0.0
2024-02-21 10:02:26-08:00,45.39476115256548,11.909461738541722,0.02173,7.800000000000011,,0.0,,81,,82,0.0
2024-02-21 10:02:27-08:00,45.394755536690354,11.909487135708332,0.02678,7.800000000000011,,0.0,,82,,82,0.5
2024-02-21 10:02:28-08:00,45.39475184865296,11.909511191770434,0.02678,7.800000000000011,,0.0,,83,,82,0.5
2024-02-21 10:02:29-08:00,45.394750675186515,11.909537008032203,0.0287,7.800000000000011,,0.0,,83,,82,0.5
2024-02-21 10:02:30-08:00,45.39475033991039,11.909556537866592,0.030850000000000002,7.800000000000011,,8.802,,83,,82,0.5
2024-02-21 10:02:31-08:00,45.394750256091356,11.909582857042551,0.03232,7.800000000000011,,8.9028,,83,,81,0.5
2024-02-21 10:02:32-08:00,45.39474832825363,11.909620994701982,0.034390000000000004,7.800000000000011,,9.1692,,85,,81,0.5
2024-02-21 10:02:33-08:00,45.39474413730204,11.909653097391129,0.03731,7.800000000000011,,9.1692,,88,,80,0.5
2024-02-21 10:02:34-08:00,45.39473516866565,11.90968494862318,0.04243,7.800000000000011,,9.6408,,90,,80,0.5
2024-02-21 10:02:35-08:00,45.39472754113376,11.90971277654171,0.04243,7.800000000000011,,9.709200000000001,,93,,80,0.5
2024-02-21 10:02:36-08:00,45.39472469128668,11.909741526469588,0.04486,7.600000000000023,,9.6408,,95,,81,0.5
2024-02-21 10:02:37-08:00,45.3947152197361,11.909771701321006,0.04721,7.600000000000023,,9.471599999999999,,97,,81,0.5
2024-02-21 10:02:38-08:00,45.394706251099706,11.90979877486825,0.04967,7.600000000000023,,9.3384,,99,,81,0.5
2024-02-21 10:02:39-08:00,45.394696863368154,11.909835739061236,0.05203,7.600000000000023,,9.306000000000001,,101,,81,0.5
2024-02-21 10:02:40-08:00,45.394691582769156,11.909868931397796,0.055299999999999995,7.600000000000023,,9.306000000000001,,102,,81,0.5
2024-02-21 10:02:41-08:00,45.39468789473176,11.909895669668913,0.05804,7.600000000000023,,9.4068,,104,,81,0.5
2024-02-21 10:02:42-08:00,45.394681273028255,11.909921737387776,0.060399999999999995,7.600000000000023,,9.370800000000001,,106,,81,0.5
2024-02-21 10:02:43-08:00,45.39467121474445,11.909942692145705,0.06267,7.600000000000023,,9.306000000000001,,107,,81,0.5
2024-02-21 10:02:44-08:00,45.39466056972742,11.909971190616488,0.06423999999999999,7.600000000000023,,9.2052,,108,,80,0.5
2024-02-21 10:02:45-08:00,45.3946531098336,11.910005724057555,0.06665,7.600000000000023,,9.0036,,109,,80,0.5
2024-02-21 10:02:46-08:00,45.39464548230171,11.910045286640525,0.06941,7.600000000000023,,9.0036,,110,,78,0.5
2024-02-21 10:02:47-08:00,45.394640704616904,11.910082334652543,0.07253,7.600000000000023,,9.0684,,111,,78,0.5
2024-02-21 10:02:48-08:00,45.39464212954044,11.91011636517942,0.07528,7.600000000000023,,9.1368,,112,,78,0.5
2024-02-21 10:02:49-08:00,45.39465612731874,11.910137990489602,0.07829000000000001,7.600000000000023,,9.1692,,113,,79,0.5
2024-02-21 10:02:50-08:00,45.39467163383961,11.91014913842082,0.08033,7.600000000000023,,9.1692,,114,,80,0.5
2024-02-21 10:02:51-08:00,45.39469024166465,11.91015793941915,0.08213,7.600000000000023,,9.1692,,115,,80,0.5
2024-02-21 10:02:52-08:00,45.39471421390772,11.910165147855878,0.08421,7.600000000000023,,9.1368,,118,,80,0.5
2024-02-21 10:02:53-08:00,45.39473810233176,11.910170093178749,0.08673,7.399999999999977,,9.1368,,119,,80,0.5
2024-02-21 10:02:54-08:00,45.39476400241256,11.910174116492271,0.08957999999999999,7.399999999999977,,9.1368,,121,,81,0.5
2024-02-21 10:02:55-08:00,45.39478805847466,11.910181157290936,0.09237000000000001,7.399999999999977,,9.1368,,122,,81,0.5
2024-02-21 10:02:56-08:00,45.39481144398451,11.910185515880585,0.09518,7.399999999999977,,9.1044,,122,,81,0.5
2024-02-21 10:02:57-08:00,45.39483499713242,11.91019649617374,0.09769,7.399999999999977,,9.0684,,123,,82,0.5
2024-02-21 10:02:58-08:00,45.39485511370003,11.910206135362387,0.10031,7.399999999999977,,9.0036,,123,,83,0.0
